,Mobile_Name,Color,Brand,ROM,MRP_Price,Selling_Price,Discount
369,IQOO Z10 Lite 5G,Speed Blue,Apple,128,"17,499",14604,4
370,REDMI A4,Gold,Apple,64,"17,499",14604,31
371,Redmi A4,Cyber Green,Apple,64,"10,999",8617,32
372,IQOO Z10X 5G,Titanium Blue,Apple,128,"1,899",924,32
373,IQOO Z10X 5G,Starry Black,Apple,128,"18,999",9620,21
374,Lava Shark 5G,Astral Trail,,64,"9,999",5785,29
375,,Onyx Black,,,"9,999",5685,48
376,HMD Crest 5G,Crystal Purple,Redmi,128,"17,999",13180,20
377,ringme BOLD P70,Crystal Purple,Realme,128,"44,999",37984,27
378,ringme BOLD P70,Beach Gold,realme,128,"10,999",9085,24
379,REDMI 13 5G,Obsidian Black,redmi,128,"18,999",10484,26
380,ONEPLUS 13R 5G,Obsidian Black,redmi,256,"2,099",1253,27
381,Lava Shark 5G,Ultramarine,Micromax,64,"2,099",1282,20
382,hmd Crest 5G,Titanium,IQOO,128,"17,999",17984,20
383,SIA PRO 5+ Golden smallest Phone,Ultramarine,IQOO,64,"15,999",15984,16
384,,Titanium,IQOO,,"16,999",16975,16
385,,Sage Green,IQOO,,"16,999",16975,15
386,realme Narzo 50,Golden Mist,REDMI,128,"11,999",11984,27
387,realme Narzo 50,Midnight Mist,Redmi,64,"44,999",44975,26
388,SIA PRO 5+ Golden smallest Phone,Stardust Purple,IQOO,64,"13,999",13984,17
389,IQOO Z10 Lite 5G,Black Diamond,IQOO,256,"14,999",11875,51
390,IQOO Z10 Lite 5G,Orchid Pink,Lava,256,"13,999",13975,21
391,REDMI A4,Sage Green,Micromax,128,"8,999",8984,15
392,oneplus 13R 5g,Blazing Black,HMD,256,"8,999",8984,17
393,Realme Narzo 80 Lite 5G,Starlight Blue,ringme,128,"10,999",10984,15
394,Realme Narzo 80 Lite 5G,Starlight Blue,ringme,128,"20,499",20475,17
395,Realme Narzo 80 Lite 5G,Stargaze Black,REDMI,128,"18,999",18975,49
396,realme Narzo 80 Lite 4G,Stardust Purple,ONEPLUS,64,"18,999",18975,42
397,realme Narzo 80 Lite 4G,Stardust Purple,Lava,64,"20,499",20475,43
398,realme Narzo 80 Lite 4G,Raging Blue,hmd,128,"15,499",15484,40
399,IQOO Z10X 5G,Space Gray,SIA,256,"11,999",10982,38
400,IQOO Z10X 5G,MoonKnight Titanium,,128,"10,999",10484,44
401,IQOO Z10X 5G,Raging Blue,,128,"13,999",13984,13
402,IQOO Z10X 5G,MoonKnight Titanium,Micromax,256,"17,999",17984,31
403,SAMSUNG M06 5G,MoonKnight Titanium,Micromax,128,"17,999",17984,30
404,Lava Blaze Dragon 5G,Raging Blue,realme,128,"13,999",13984,16
405,Lava Blaze Dragon 5G,Purple,realme,128,"13,999",13984,10
406,Redmi 14C 5G,Midnight,SIA,128,"14,999",10204,30
407,REDMI 13 5G,Midnight,IQOO,128,"13,999",9463,13
408,REDMI 13 5G,Midnight,IQOO,128,"13,999",9415,11
409,SAMSUNG M06 5G,Blue,REDMI,128,"12,999",10185,17
410,SAMSUNG M06 5G,Green,oneplus,128,"14,999",10602,11
411,Redmi 14C 5G,Blue,Realme,128,"33,999",33975,25
412,Redmi 14C 5G,Red,Realme,128,"49,900",49885,13
413,Redmi 14C 5G,Green,Realme,128,"31,999",31975,13
414,Redmi 14C 5G,Midnight,realme,64,"31,999",31975,35
415,Redmi 14C 5G,White,realme,128,"35,999",35975,22
416,Iqoo Neo 10R 5G,Red,realme,256,"33,999",33975,5
417,Apple IPHONE 8 PLUS,Green,IQOO,64,"35,999",35975,22
418,Iqoo Neo 10R 5G,White,IQOO,128,"1,49,000",148985,5
419,Iqoo Neo 10R 5G,Pink,IQOO,128,"1,29,000",128985,18
420,Iqoo Neo 10R 5G,Blue,IQOO,256,"79,900",79885,13
421,Iqoo Neo 10R 5G,Pink,SAMSUNG,256,"59,900",59885,6
